uuid,normalized_job_code,country_code,age_group,age
a5e54ad0-df0b-0133-fe8a-0a81e8b09a82,,BE,40_65,48 years old
2514d3c0-dbde-0133-4c7f-0a81e8b09a82,,BE,26_39,31 years old
bc41f880-dd4d-0133-fba5-0a81e8b09a82,096536ec43ce2a7de73031b271a1c132,BE,26_39,1986
14280100-dbea-0133-35b0-0a81e8b09a82,2ca138b991c50dc6696238e5ad800142,BE,26_39,37 years old
169af7e0-da78-0133-7dcc-0a81e8b09a82,,BE,14_25,1999
d56d0a60-da6f-0133-eb85-0a81e8b09a82,a33662485eb4ad97096183db945308f4,BE,26_39,33 years old
d1b45750-db1c-0133-4d29-0a81e8b09a82,4f75f97ac5b5f00f9420074d501f0803,BE,40_65,52 years old
2d942760-da74-0133-10cb-0a81e8b09a82,f36c6ada3a808453a0bf241c74a4e994,BE,26_39,36 years old
3bc291f0-db63-0133-06ac-0a81e8b09a82,,BE,40_65,47 years old
e789f760-db38-0133-48be-0a81e8b09a82,499f9d9b6722342608656559b15abd90,BE,26_39,1987
a5b4c5e0-db5b-0133-db35-0a81e8b09a82,27af8700f5577cec835acee2cb90a2ff,BE,26_39,38 years old
ae9eb000-d8db-0133-9a27-0a81e8b09a82,d4624ed8068d24948e18303212593cd6,BE,40_65,45 years old
